orgunitlevel1,orgunitlevel2,orgunitlevel3,District QGIS,organisationunitname,Number diagnosed anemic (OPD Attendance) 2019,Number diagnosed anemic (OPD Attendance) 2018,Number diagnosed anemic (OPD Attendance) 2017,Number of OPD Suspected Malaria Cases 2019,Number of OPD Suspected Malaria Cases 2018,Number of OPD Suspected Malaria Cases 2017,Upper Respiratory Tract Infections 2019,Upper Respiratory Tract Infections 2018,Upper Respiratory Tract Infections 2017,Hypertension 2019,Hypertension 2018,Hypertension 2017,Diabetes Mellitus 2019,Diabetes Mellitus 2018
Ghana,Greater Accra,Ablekuma Central,ABLEKUMA CENTRAL MUNICIPAL,Ablekuma Central,2,0,0,10160,655,567,3954,542,497,3973,479,218,1068,176
Ghana,Greater Accra,Ablekuma North,ABLEKUMA NORTH MUNICIPAL,Ablekuma North,60,190,40,9858,9437,5470,1480,2641,1117,2639,1698,754,617,570
Ghana,Greater Accra,Ablekuma West,ABLEKUMA WEST MUNICIPAL,Ablekuma West,4,18,4,14979,15175,14772,6645,7931,6246,3849,3763,3529,1167,606
Ghana,Eastern,Abuakwa North,ABUAKWA NORTH,Abuakwa North,1285,104,112,28885,17954,20926,11599,12504,10466,2074,1905,3141,346,622
Ghana,Central,Abura-Asebu-Kwamankese,ABURA-ASEBU-KWAMANKESE,Abura-Asebu-Kwamankese,686,881,167,63418,55409,57324,17807,16323,15121,81,80,169,28,53
Ghana,Greater Accra,Accra Metro,ACCRA METROPOLIS,Accra Metro,172,206,186,56430,44387,52388,33057,28474,34221,11046,8224,10394,4201,3613
Ghana,Eastern,Achiase ,ACHIASE ,Achiase ,18,9,1,23603,23083,17337,7065,8906,5583,341,600,1413,44,22
Ghana,Greater Accra,Ada East,ADA EAST,Ada East,19,21,44,23768,23321,17106,6426,6299,6240,524,366,579,93,36
Ghana,Greater Accra,Ada West,ADA WEST,Ada West,8,0,2,11493,13188,12774,3897,6452,5377,785,887,1056,61,60
Ghana,Volta,Adaklu,ADAKLU,Adaklu,34,16,0,22303,18506,17906,7772,6139,5684,169,134,234,7,67
Ghana,Ashanti,Adansi Akrofuom,ADANSI AKROFUOM,Adansi Akrofuom,6,22,4,11302,10093,5911,2348,2459,1292,58,581,588,137,43
Ghana,Ashanti,Adansi Asokwa,ADANSI ASOKWA,Adansi Asokwa,297,156,243,22281,23323,20715,5842,6356,4205,146,263,132,11,24
Ghana,Ashanti,Adansi North,ADANSI NORTH,Adansi North,0,0,20,24043,25874,30364,3669,4039,5492,954,1179,1839,16,96
Ghana,Ashanti,Adansi South,ADANSI SOUTH,Adansi South,0,4,10,22403,24462,16733,5470,4896,4584,595,880,537,160,104
Ghana,Greater Accra,Adentan,ADENTA MUNICIPAL,Adentan,32,14,92,27038,31283,35204,10967,7705,9158,4041,5987,4843,1022,1760
Ghana,Volta,Afadjato South,AFADZATO SOUTH,Afadjato South,15,60,37,31805,28444,25688,10074,10707,10184,540,474,512,49,24
Ghana,Ashanti,Afigya Kwabre North,AFIGYA KWABRE NORTH,Afigya Kwabre North,13,2,1,25323,26578,20559,6379,6979,5882,1065,871,496,241,223
Ghana,Ashanti,Afigya Kwabre South,AFIGYA KWABRE SOUTH,Afigya Kwabre South,563,199,152,70382,63618,55472,20717,21291,17899,1757,1166,831,652,796
Ghana,Eastern,Afram Plains South,KWAHU AFRAM PLAINS SOUTH,Afram Plains South,67,115,84,30149,31428,24479,7522,9050,6477,1052,1106,662,134,98
Ghana,Central,Agona East,AGONA EAST,Agona East,70,71,55,35081,37274,32642,10736,11543,11301,1274,1475,2571,164,155
Ghana,Central,Agona West,AGONA WEST MUNICIPAL,Agona West,161,37,194,70026,65999,57543,13722,19148,17698,2862,737,680,609,126
Ghana,Volta,Agortime-Ziope,AGOTIME ZIOPE,Agortime-Ziope,0,0,0,16444,12767,8456,4527,3597,1977,740,682,519,23,14
Ghana,Ashanti,Ahafo Ano North,AHAFO ANO NORTH,Ahafo Ano North,36,23,34,39777,31010,31998,15351,14384,11286,335,317,419,65,79
Ghana,Ashanti,Ahafo Ano South East,AHAFO ANO SOUTH EAST,Ahafo Ano South East,24,33,22,25857,22714,19275,8389,7758,7236,529,348,370,209,144
Ghana,Ashanti,Ahafo Ano South West,AHAFO ANO SOUTH WEST,Ahafo Ano South West,82,62,62,33942,31919,25626,13868,12609,8550,584,1293,1797,108,169
Ghana,Western,Ahanta West,AHANTA WEST MUNICIPAL,Ahanta West,309,239,221,61058,48726,44910,17610,17603,17369,1510,1179,466,343,235
Ghana,Central,Ajumako-Enyan-Essiam,AJUMAKO-ENYAN-ESSIAM,Ajumako-Enyan-Essiam,86,50,28,66192,74163,69687,27505,28848,27086,1296,3039,2599,322,808
Ghana,Volta,Akatsi North,AKATSI NORTH,Akatsi North,7,2,23,12899,14063,15679,3827,4565,4150,270,421,496,47,29
Ghana,Volta,Akatsi South,AKATSI SOUTH,Akatsi South,353,59,43,34875,38387,41003,12836,14351,16218,481,2109,1338,74,566
Ghana,Eastern,Akwapim North,AKWAPEM NORTH,Akwapim North,138,224,0,52517,52779,43179,14289,14200,12438,3637,4107,4786,68,815
Ghana,Eastern,Akwapim South,AKWAPEM SOUTH,Akwapim South,23,33,12,26836,24182,26346,8133,7359,7796,438,150,60,116,54
Ghana,Eastern,Akyemansa,AKYEM MANSA,Akyemansa,312,316,234,44682,45373,48210,15724,19207,21291,114,244,322,19,41
Ghana,Ashanti,Amansie Central,AMANSIE CENTRAL,Amansie Central,103,41,12,48542,43426,29990,17304,18301,12451,805,1288,144,121,177
Ghana,Ashanti,Amansie South,AMANSIE SOUTH,Amansie South,667,714,732,45851,46449,39626,7528,6555,6363,307,379,606,67,531
Ghana,Ashanti,Amansie West,AMANSIE WEST,Amansie West,1,73,6,19733,17000,14095,4417,3835,3071,587,543,1421,83,129
Ghana,Volta,Anloga,ANLOGA,Anloga,280,621,384,30391,33793,21191,6307,6505,7362,1355,1274,1097,50,37
Ghana,Western North,Aowin,AOWIN,Aowin,161,83,66,64328,70691,73075,17017,16948,15256,963,322,312,237,120
Ghana,Ashanti,Asante Akim Central,ASANTE AKIM CENTRAL MUNICIPAL,Asante Akim Central,11,57,35,67365,54922,61544,12565,13677,10608,632,2297,2049,251,682
Ghana,Ashanti,Asante Akim North,ASANTE AKIM NORTH,Asante Akim North,90,12,16,42736,25333,22297,17252,11404,8955,802,821,2529,357,207
Ghana,Ashanti,Asante Akim South,ASANTE AKIM SOUTH,Asante Akim South,99,43,34,57692,61110,53301,25286,23481,15848,2104,1011,565,803,922
Ghana,Ashanti,Asante Mampong,MAMPONG MUNICIPAL,Asante Mampong,331,265,475,42375,43169,38254,20764,17241,12529,1750,1314,3659,676,595
Ghana,Eastern,Asene Manso Akroso,ASENE MANSO AKROSO,Asene Manso Akroso,0,0,0,37043,32514,24925,8198,7631,6409,1995,2005,1633,445,534
Ghana,Greater Accra,Ashaiman,ASHAIMAN MUNICIPAL,Ashaiman,615,1700,1508,66225,95563,108316,18624,35731,40156,15855,24510,21107,4263,7449
Ghana,Central,Asikuma-Odoben-Brakwa,ASIKUMA-ODOBEN-BRAKWA,Asikuma-Odoben-Brakwa,197,92,106,73642,74864,71402,18055,17215,17829,1079,920,4930,298,147
Ghana,Ashanti,Asokore Mampong,ASOKORE MAMPONG MUNICIPAL,Asokore Mampong,149,391,87,10391,22102,8692,3065,5544,3308,837,1829,1094,417,653
Ghana,Ashanti,Asokwa,ASOKWA  MUNICIPAL,Asokwa,110,36,25,64553,44831,19233,24342,9132,4464,5033,4664,1936,2561,2468
Ghana,Central,Assin Foso,ASSIN CENTRAL MUNICIPAL,Assin Foso,176,138,360,52259,45636,37616,9337,8273,6846,1363,1635,1009,282,264
Ghana,Central,Assin North,ASSIN NORTH,Assin North,1391,1333,768,42749,44834,40190,7510,7384,6513,1666,2689,2514,624,702
Ghana,Central,Assin South,ASSIN SOUTH,Assin South,17,1,8,55028,48918,43874,16452,12339,9838,499,338,378,182,61
Ghana,Ahafo,Asunafo North,ASUNAFO NORTH MUNICIPAL,Asunafo North,23,2,4,73085,62604,61904,29801,22383,20446,4648,2136,1495,1682,528
Ghana,Ahafo,Asunafo South,ASUNAFO SOUTH,Asunafo South,23,32,67,79903,70107,63219,26854,22021,22123,423,482,674,685,393
