,org_unit_name,District_GIS,region,Jan19ratio,Feb19ratio,Mar19ratio,Apr19ratio,May19ratio,May19ratio,Jul19ratio,Aug19ratio,Sep19ratio,Oct19ratio,Nov19ratio,Dec19ratio,May_june_july_ratio,Oct_nov_Dec_ratio
0,Ablekuma Central,ABLEKUMA CENTRAL MUNICIPAL,Greater Accra,0.0005241180796103916,0.02673002206012997,0.022275018383441644,0.02804031725915595,0.011792656791233811,0.011792656791233811,0.03485385229409104,0.21357811744123456,0.17164867107240322,0.17662779282870197,0.21148164512279302,0.12840892950454594,0.05843916587655866,0.516518367456041
1,Ablekuma North,ABLEKUMA NORTH MUNICIPAL,Greater Accra,0.09198272297162371,0.05214974892123396,0.04900504044357161,0.044025918687272896,0.007861771194155874,0.007861771194155874,0.0,0.0,0.051887689881428764,0.0,0.029612671497987124,0.03249532093584428,0.015723542388311747,0.0621079924338314
2,Ablekuma West,ABLEKUMA WEST MUNICIPAL,Greater Accra,0.14701512133071484,0.09093448681240293,0.10220302552402635,0.08412095177746785,0.07311447210564963,0.07311447210564963,0.18868250865974098,0.136532759738507,0.15382865636564994,0.20571634624707869,0.3123743754477934,0.15880777812194863,0.33491145287104024,0.6768984998168206
3,Abuakwa North,ABUAKWA NORTH,Eastern,0.398853858583508,0.36033117973214424,0.3197120285623388,0.325215268398248,0.12605039814629918,0.12605039814629918,0.3115881983283778,0.2300878369489619,0.03249532093584428,0.2665140434818841,0.32207055992058564,0.06158387435422101,0.5636889946209762,0.6501684777566907
4,Abura-Asebu-Kwamankese,ABURA-ASEBU-KWAMANKESE,Central,0.388109437951495,0.31027790312935183,0.32862203591571554,0.3564002941350663,0.3663585376476637,0.3663585376476637,0.4701339174105213,0.31866379240311804,0.24423902509844247,0.42663211680285873,0.558185754785067,0.49791217562987194,1.2028509927058486,1.4827300472177978
5,Accra Metro,ACCRA METROPOLIS,Greater Accra,0.7091317617128597,0.6601267212692883,0.6703470238216909,0.6457134740800025,0.7924665363709121,0.7924665363709121,0.8383268683368214,0.6897393927672753,0.6700849647818856,0.9056760415667566,0.784342706136951,0.5568754595860411,2.4232599410786455,2.2468942072897486
6,Achiase ,ACHIASE ,Eastern,0.14465658997246808,0.10298920264344194,0.13522246453948103,0.19549604369467605,0.14727718037052004,0.14727718037052004,0.19890281121214362,0.12971922470357192,0.10744420632013027,0.1234298077482472,0.18868250865974098,0.21436429456065015,0.4934571719531837,0.5264766109686383
7,Ada East,ADA EAST,Greater Accra,0.175317497629676,0.14439453093266288,0.12762275238513035,0.09538949048909127,0.13862923205694858,0.13862923205694858,0.14753923941032523,0.12054715831039006,0.07678329866292237,0.16771778547532532,0.23113607310818268,0.14046364533558495,0.4247977035242224,0.5393175039190929
8,Ada West,ADA WEST,Greater Accra,0.07861771194155874,0.09643772664831204,0.07180417690662365,0.05870122491636386,0.0877897783347406,0.0877897783347406,0.037474442692143,0.09617566760850685,0.12264363062883163,0.09041036873279254,0.12133333542980565,0.07547300346389639,0.2130539993616242,0.2872167076264946
9,Adaklu,ADAKLU,Volta,0.1496357117287668,0.10456155688227313,0.10089273032500039,0.0872656602551302,0.0940791952900653,0.0940791952900653,0.235591076784871,0.18658603634129942,0.1478012984501304,0.21567458975967613,0.4158876961708457,0.16457307699766296,0.42374946736500163,0.7961353629281849
10,Adansi Akrofuom,ADANSI AKROFUOM,Ashanti,0.04455003676688329,0.05450828027948072,0.035902088453311824,0.04455003676688329,0.0437638596474677,0.0437638596474677,0.0741627082648704,0.052935926040649554,0.030136789577597516,0.05791504779694827,0.06656299611051973,0.04952915852318201,0.16169042755980578,0.17400720243065002
11,Adansi Asokwa,ADANSI ASOKWA,Ashanti,0.13889129109675377,0.11871274503175369,0.10482361592207833,0.08857595545415618,0.12578833910649398,0.12578833910649398,0.13941540917636416,0.10901656055896145,0.07363859018526002,0.1758416157092864,0.13260187414142907,0.1312915789424031,0.3909920873893521,0.4397350687931185
12,Adansi North,ADANSI NORTH,Ashanti,0.09512743144928608,0.0372123836523378,0.03301943901545467,0.08962419161337697,0.0681353503493509,0.0681353503493509,0.06970770458818208,0.04455003676688329,0.12211951254922124,0.09093448681240293,0.10141684840461077,0.11478185943467575,0.20597840528688388,0.3071331946516894
13,Adansi South,ADANSI SOUTH,Ashanti,0.11242332807642899,0.09853419896675361,0.06761123226974051,0.07311447210564963,0.08385889273766266,0.08385889273766266,0.1750554385898708,0.16693160835590973,0.04743268620474044,0.19706839793350722,0.21043340896357224,0.13889129109675377,0.3427732240651961,0.5463930979938333
14,Adentan,ADENTA MUNICIPAL,Greater Accra,0.2450252022178581,0.2054542872072735,0.27647228699448156,0.1375809958977278,0.199426929291754,0.199426929291754,0.24109431662078012,0.137843054937533,0.1996889883315592,0.3781511944388975,0.37133765940396246,0.19104104001798775,0.6399481752042881,0.9405298938608476
15,Afadjato South,AFADZATO SOUTH,Volta,0.19759251601311764,0.21960547535675407,0.19444780753545526,0.12578833910649398,0.16509719507727336,0.16509719507727336,0.28302376298961146,0.21567458975967613,0.1926133942568189,0.32102232376136486,0.30241613193519595,0.20964723184415665,0.6132181531441582,0.8330856875407175
16,Afigya Kwabre North,AFIGYA KWABRE NORTH,Ashanti,0.1488495346093512,0.11137509191720822,0.10796832439974066,0.10298920264344194,0.0815003613794159,0.0815003613794159,0.18213103266461106,0.10063067128519519,0.10377537976285753,0.26467963020324775,0.17872426514714354,0.15435277444526033,0.3451317554234429,0.5977566697956516
17,Afigya Kwabre South,AFIGYA KWABRE SOUTH,Ashanti,0.27752052315370235,0.500532766027924,0.48140245612214466,0.4004262128223392,0.5272627880880539,0.5272627880880539,0.6006393192335088,0.30922966697013105,0.5159942493764305,0.4730165668483784,0.4321353566387679,0.29114759322357253,1.6551648954096168,1.1962995167107189
18,Afram Plains South,KWAHU AFRAM PLAINS SOUTH,Eastern,0.18606191826168902,0.13600864165889662,0.12421598486766279,0.13391216934045505,0.14151188149480573,0.14151188149480573,0.1750554385898708,0.16771778547532532,0.15094600692779278,0.22484665615285798,0.20388193296844231,0.1850136821024682,0.45807920157948223,0.6137422712237686
19,Agona East,AGONA EAST,Central,0.24083225758097493,0.19051692193837735,0.20650252336649427,0.15225630212681876,0.1923513352170137,0.1923513352170137,0.335959689030261,0.26441757116344256,0.15513895156467591,0.25341109149162433,0.35037293621954674,0.23244636830720866,0.7206623594642885,0.8362303960183797
20,Agona West,AGONA WEST MUNICIPAL,Central,0.2882649437857154,0.1729589662714292,0.21148164512279302,0.21960547535675407,0.2882649437857154,0.2882649437857154,0.46201008717656017,0.22877754174993592,0.2172469439985073,0.307919371771105,0.4740648030075992,0.33464939383123504,1.0385399747479909,1.1166335686099393
21,Agortime-Ziope,AGOTIME ZIOPE,Volta,0.1061339111211043,0.06289416955324699,0.07285241306584443,0.07128005882701326,0.061321815314415815,0.061321815314415815,0.05214974892123396,0.13391216934045505,0.11347156423564977,0.16719366739571492,0.1627386637190266,0.07704535770272757,0.17479337955006558,0.4069776888174691
22,Ahafo Ano North,AHAFO ANO NORTH,Ashanti,0.32704968167688436,0.28380994010902705,0.2683484567605205,0.24083225758097493,0.2565557999692867,0.2565557999692867,0.42637005776305353,0.3776270763592871,0.32704968167688436,0.35561411701565065,0.40409503937961194,0.3254773274380532,0.939481657701627,1.0851864838333158
23,Ahafo Ano South East,AHAFO ANO SOUTH EAST,Ashanti,0.18448956402285782,0.1611663094801954,0.16483513603746816,0.17636573378889678,0.1480633574899356,0.1480633574899356,0.23166019118779307,0.15802160100253307,0.12447804390746799,0.22406047903344242,0.17033837587337725,0.1627386637190266,0.5277869061676643,0.5571375186258463
24,Ahafo Ano South West,AHAFO ANO SOUTH WEST,Ashanti,0.298485246338118,0.21017134992376704,0.23166019118779307,0.24948020589454636,0.31447084776623496,0.31447084776623496,0.40592945265824826,0.2948164197808453,0.187372213460715,0.40776386593688463,0.3244290912788324,0.2872167076264946,1.0348711481907182,1.0194096648422117
