,organisationunitname,District edit,Upper Respiratory Tract Infections January 2019,Upper Respiratory Tract Infections February 2019,Upper Respiratory Tract Infections March 2019,Upper Respiratory Tract Infections April 2019,Upper Respiratory Tract Infections May 2019,Upper Respiratory Tract Infections June 2019,Upper Respiratory Tract Infections July 2019,Upper Respiratory Tract Infections August 2019,Upper Respiratory Tract Infections September 2019,Upper Respiratory Tract Infections October 2019,Upper Respiratory Tract Infections November 2019,Upper Respiratory Tract Infections December 2019,Upper Respiratory Tract Infections January 2019ratio,Upper Respiratory Tract Infections February 2019ratio,Upper Respiratory Tract Infections March 2019ratio,Upper Respiratory Tract Infections April 2019ratio,Upper Respiratory Tract Infections May 2019ratio,Upper Respiratory Tract Infections June 2019ratio,Upper Respiratory Tract Infections July 2019ratio,Upper Respiratory Tract Infections August 2019ratio,Upper Respiratory Tract Infections September 2019ratio,Upper Respiratory Tract Infections October 2019ratio,Upper Respiratory Tract Infections November 2019ratio,Upper Respiratory Tract Infections December 2019ratio
0,Ablekuma Central,ABLEKUMA CENTRAL MUNICIPAL,2,2,2,2,2,2,2,2,2,2,2,2,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06,5.7347505813603404e-06
1,Ablekuma North,ABLEKUMA NORTH MUNICIPAL,351,351,351,351,351,351,351,351,351,351,351,351,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398,0.0010064487270287398
2,Ablekuma West,ABLEKUMA WEST MUNICIPAL,561,561,561,561,561,561,561,561,561,561,561,561,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754,0.0016085975380715754
3,Abuakwa North,ABUAKWA NORTH,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219,0.004364145192415219
4,Abura-Asebu-Kwamankese,ABURA-ASEBU-KWAMANKESE,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332,0.004246582805497332
5,Accra Metro,ACCRA METROPOLIS,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541,0.007759117536580541
6,Achiase ,ACHIASE ,552,552,552,552,552,552,552,552,552,552,552,552,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539,0.0015827911604554539
7,Ada East,ADA EAST,669,669,669,669,669,669,669,669,669,669,669,669,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337,0.0019182740694650337
8,Ada West,ADA WEST,300,300,300,300,300,300,300,300,300,300,300,300,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511,0.0008602125872040511
9,Adaklu,ADAKLU,571,571,571,571,571,571,571,571,571,571,571,571,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377,0.001637271290978377
